Date,ABB.NS,ACC.NS,ADANIENT.NS,ADANIGREEN.NS,ADANIPORTS.NS,AMBUJACEM.NS,APOLLOHOSP.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BANDHANBNK.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CHOLAFIN.NS,CIPLA.NS,COALINDIA.NS,COLPAL.NS,DABUR.NS,DIVISLAB.NS,DLF.NS,DRREDDY.NS,EICHERMOT.NS,FEDERALBNK.NS,GAIL.NS,GODREJCP.NS,GRASIM.NS,HAVELLS.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,ICICIGI.NS,IDEA.NS,INDUSINDBK.NS,INFY.NS,IOC.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARICO.NS,MARUTI.NS,MPHASIS.NS,NESTLEIND.NS,NMDC.NS,NTPC.NS,ONGC.NS,PERSISTENT.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHREECEM.NS,SIEMENS.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TVSMOTOR.NS,ULTRACEMCO.NS,VEDL.NS,WIPRO.NS
2021-08-16,1699.4715576171875,2195.042236328125,1426.9146728515625,925.25,688.1074829101562,381.29705810546875,4284.03515625,758.2467651367188,3344.244384765625,1450.7781982421875,621.8689575195312,287.8603515625,600.7145385742188,165.09716796875,3385.856689453125,496.544921875,852.2863159179688,92.4565200805664,1482.8880615234375,553.6201782226562,4732.6474609375,314.3084716796875,901.8153686523438,2369.549072265625,81.43624877929688,80.04065704345703,941.8396606445312,1452.2716064453125,1186.7188720703125,913.4423217773438,716.165771484375,662.9910888671875,2308.43017578125,427.0406799316406,2224.84521484375,675.88623046875,1389.8438720703125,5.949999809265137,982.4611206054688,1484.485595703125,53.03248977661133,166.0605926513672,723.8851318359375,354.5511169433594,1573.9583740234375,763.0984497070312,482.9229431152344,6519.35400390625,2395.122802734375,865.4130859375,32.78083419799805,99.05852508544922,84.53633117675781,1499.2374267578125,104.75140380859375,984.4169921875,1128.5670166015625,388.6303405761719,25440.1484375,1275.1246337890625,741.22314453125,769.6082153320312,131.02671813964844,3016.946044921875,1149.0291748046875,1807.4713134765625,526.183837890625,7039.39892578125,161.33462524414062,280.45709228515625
2021-08-17,1686.955322265625,2206.990966796875,1438.43896484375,936.8499755859375,674.236328125,386.3489990234375,4851.34716796875,753.022705078125,3396.882568359375,1469.51953125,625.0820922851562,286.68804931640625,593.4193725585938,165.45297241210938,3424.01904296875,504.6192321777344,868.0223388671875,90.66600799560547,1503.042236328125,561.3831787109375,4761.16552734375,310.2086486816406,909.4286499023438,2388.346923828125,79.94772338867188,79.23216247558594,955.0909423828125,1442.6279296875,1185.4603271484375,929.131591796875,708.7027587890625,658.9061889648438,2338.048095703125,422.06219482421875,2277.4775390625,674.4913940429688,1399.1494140625,5.75,969.0904541015625,1516.92919921875,52.290428161621094,164.7220001220703,707.3478393554688,355.74468994140625,1557.46875,754.8403930664062,487.8425598144531,6575.26611328125,2478.057373046875,886.098388671875,31.84912109375,97.8499755859375,83.32865905761719,1546.3963623046875,106.22966766357422,980.2275390625,1124.30712890625,385.5659484863281,25657.25,1289.8531494140625,744.4035034179688,799.0148315429688,129.6728057861328,3086.529541015625,1187.54443359375,1844.1185302734375,517.9232177734375,7099.189453125,145.34500122070312,289.9800109863281
2021-08-18,1702.2742919921875,2252.445556640625,1456.748046875,942.5,686.6473388671875,393.9508361816406,4723.49072265625,750.684326171875,3419.72216796875,1496.3529052734375,638.1489868164062,283.6594543457031,590.1981201171875,164.9192657470703,3446.481689453125,502.0433349609375,872.05224609375,90.08000946044922,1488.149658203125,562.1360473632812,4763.20263671875,311.8771667480469,906.8263549804688,2458.602294921875,79.94772338867188,78.47757720947266,954.8534545898438,1462.3046875,1194.900390625,922.0589599609375,707.9307250976562,660.5302734375,2322.083984375,412.7335510253906,2279.540771484375,662.0828247070312,1431.4052734375,6.449999809265137,958.8685302734375,1509.787109375,52.53778076171875,164.52517700195312,700.8850708007812,348.0563049316406,1551.8616943359375,755.5086059570312,490.74761962890625,6532.00732421875,2480.412353515625,894.5394897460938,31.744550704956055,97.14153289794922,82.85291290283203,1547.6239013671875,104.69343566894531,984.0321655273438,1103.7489013671875,383.9194030761719,25781.669921875,1276.0989990234375,743.216796875,807.2659301757812,129.39254760742188,3093.044921875,1186.536376953125,1849.8741455078125,513.23095703125,7283.54296875,141.8690185546875,287.4679870605469
2021-08-20,1657.1875,2189.59326171875,1426.9146728515625,935.8499755859375,668.93115234375,377.0149841308594,4682.6474609375,736.6039428710938,3346.9658203125,1493.5806884765625,649.558349609375,271.7406005859375,581.4344482421875,161.9660186767578,3608.767333984375,480.5945129394531,854.781005859375,88.28947448730469,1495.5513916015625,575.5918579101562,4674.2041015625,294.6195373535156,881.4715576171875,2469.994384765625,76.73062133789062,75.64785766601562,981.403564453125,1446.1834716796875,1196.9818115234375,908.3207397460938,708.7495727539062,657.38037109375,2266.5439453125,390.2093200683594,2401.813232421875,654.772216796875,1419.6888427734375,5.949999809265137,948.9857788085938,1509.3519287109375,51.20207977294922,164.48580932617188,650.655517578125,338.8759460449219,1514.5582275390625,750.0668334960938,504.0540466308594,6542.32080078125,2483.68212890625,925.7711181640625,28.71175193786621,95.14117431640625,80.65718078613281,1531.8563232421875,103.5340347290039,972.98095703125,1114.8948974609375,372.0277404785156,25746.26953125,1271.0556640625,722.5692749023438,812.9265747070312,118.6259994506836,3092.132568359375,1175.3638916015625,1846.4306640625,499.055908203125,7179.9638671875,129.09169006347656,283.197509765625
2021-08-23,1618.818115234375,2161.77587890625,1393.5888671875,933.6500244140625,650.5335693359375,375.90838623046875,4679.44091796875,732.4744262695312,3272.69287109375,1522.831787109375,658.44189453125,260.5055847167969,589.9138793945312,160.7206573486328,3581.2568359375,479.70281982421875,861.9773559570312,87.21514892578125,1479.0980224609375,573.898193359375,4728.47607421875,294.23565673828125,873.5099487304688,2415.261962890625,75.14605712890625,75.89039611816406,978.1737670898438,1403.323486328125,1219.153564453125,945.5120239257812,713.3583984375,658.3154907226562,2252.34423828125,393.30279541015625,2415.337890625,656.696044921875,1432.8515625,6.0,957.8511962890625,1514.403564453125,50.9547233581543,162.4385986328125,650.2753295898438,341.5216064453125,1502.3455810546875,731.2113037109375,495.1518859863281,6518.44677734375,2500.164306640625,947.0477294921875,27.913143157958984,94.51607513427734,81.79164123535156,1547.5999755859375,101.82394409179688,979.3670654296875,1124.9508056640625,374.5889892578125,25447.390625,1239.9654541015625,722.7595825195312,798.7269287109375,117.164306640625,3159.803955078125,1189.4766845703125,1840.0849609375,490.0621643066406,7043.56689453125,131.34510803222656,287.216796875
2021-08-24,1640.0323486328125,2180.416259765625,1434.5975341796875,949.7000122070312,676.9131469726562,380.4310607910156,4775.6298828125,742.6738891601562,3314.178466796875,1641.4725341796875,680.6657104492188,258.64935302734375,587.4979858398438,162.39297485351562,3531.19091796875,505.3622741699219,880.4959716796875,88.68012237548828,1469.8682861328125,557.8545532226562,4717.3701171875,302.48883056640625,887.546630859375,2418.96484375,76.92267608642578,78.39673614501953,962.6902465820312,1422.3182373046875,1225.44677734375,937.2202758789062,729.3839111328125,660.5794067382812,2248.352783203125,406.8366394042969,2414.28369140625,667.99853515625,1412.9388427734375,6.25,973.78955078125,1498.8131103515625,52.389373779296875,162.00555419921875,657.3558959960938,339.1445007324219,1526.1531982421875,742.906494140625,488.87347412109375,6496.76904296875,2440.994140625,935.6383666992188,29.424789428710938,94.9744873046875,82.85291290283203,1547.9852294921875,102.3746566772461,989.036865234375,1149.6702880859375,381.99847412109375,25689.271484375,1260.71142578125,734.181396484375,802.948486328125,121.13115692138672,3138.781494140625,1229.251708984375,1839.34716796875,496.6608581542969,7143.552734375,137.3142547607422,289.3634338378906
2021-08-25,1673.086181640625,2167.416015625,1472.0638427734375,997.1500244140625,701.5892333984375,382.06689453125,4707.458984375,735.409912109375,3291.78515625,1585.9013671875,677.2380981445312,258.5028381347656,580.2501220703125,163.9229736328125,3559.535400390625,506.204345703125,875.650390625,90.40556335449219,1477.5821533203125,564.6765747070312,4710.87060546875,294.90740966796875,880.1074829101562,2448.965576171875,77.2587890625,78.10027313232422,988.7179565429688,1410.1907958984375,1165.951171875,938.3989868164062,728.7055053710938,676.7715454101562,2246.756591796875,416.358642578125,2425.287109375,664.7279663085938,1412.167724609375,6.300000190734863,974.2740478515625,1511.6163330078125,52.488311767578125,162.517333984375,649.942626953125,337.61279296875,1514.74853515625,737.0826416015625,480.1117248535156,6409.15185546875,2434.9765625,941.787841796875,29.710006713867188,95.01616668701172,84.64610290527344,1553.353271484375,101.73698425292969,997.5970458984375,1145.4595947265625,380.7635192871094,25743.4296875,1254.7513427734375,731.9922485351562,802.0849609375,119.88505554199219,3178.567626953125,1229.0419921875,1793.156982421875,507.6098327636719,7073.60546875,139.06422424316406,288.49566650390625
2021-08-26,1678.1602783203125,2175.254638671875,1472.4129638671875,1046.449951171875,702.5140380859375,383.3178405761719,4637.16748046875,742.6738891601562,3293.346435546875,1591.3260498046875,675.9703369140625,258.9424133300781,556.04345703125,166.0756378173828,3641.14111328125,525.8204345703125,874.4030151367188,89.3963394165039,1475.3525390625,569.7578735351562,4701.36474609375,295.1473083496094,871.3140869140625,2448.253662109375,75.0980453491211,76.88754272460938,990.4276123046875,1401.764892578125,1176.3592529296875,949.0482177734375,727.4888916015625,687.8943481445312,2224.574462890625,409.97845458984375,2444.9091796875,672.1828002929688,1418.62841796875,5.900000095367432,970.3499755859375,1504.779052734375,52.24095916748047,161.1000518798828,638.6802978515625,337.6724853515625,1516.6016845703125,746.00927734375,489.24822998046875,6310.9345703125,2392.332275390625,948.5449829101562,28.245895385742188,93.97432708740234,84.57291412353516,1547.5760498046875,100.34571075439453,1010.2107543945312,1141.1500244140625,375.7324523925781,26005.677734375,1267.1302490234375,723.9017333984375,818.68310546875,118.57858276367188,3189.730712890625,1217.617431640625,1785.9749755859375,497.78509521484375,7001.5029296875,137.86561584472656,287.262451171875
2021-08-27,1788.050048828125,2244.606689453125,1502.695556640625,1049.0999755859375,707.6731567382812,394.5763244628906,4700.998046875,748.6941528320312,3300.5283203125,1614.9383544921875,679.3492431640625,269.73785400390625,563.8597412109375,167.69459533691406,3651.006103515625,519.9257202148438,886.492919921875,90.21022033691406,1476.4227294921875,572.8160400390625,4763.44580078125,299.2259521484375,890.0907592773438,2445.73779296875,74.85796356201172,77.34567260742188,1001.2568359375,1420.5162353515625,1195.72314453125,945.3901977539062,724.5178833007812,693.0620727539062,2246.840576171875,423.3188781738281,2455.5,673.0966186523438,1502.0885009765625,6.0,959.4014282226562,1488.31787109375,52.41410827636719,162.12364196777344,643.9075317382812,340.86517333984375,1556.8511962890625,740.0422973632812,491.9189147949219,6326.45263671875,2524.49560546875,944.03466796875,28.939918518066406,94.51607513427734,85.37802124023438,1566.4251708984375,101.07034301757812,1008.829345703125,1173.1016845703125,377.2875061035156,26340.298828125,1273.52001953125,734.609619140625,813.5501708984375,119.36331939697266,3231.688720703125,1214.1734619140625,1793.05859375,499.6425476074219,7249.19189453125,140.28683471679688,290.00286865234375
2021-08-30,1857.2987060546875,2281.314208984375,1513.172119140625,1060.3499755859375,710.5933837890625,401.9376525878906,4693.54736328125,780.188232421875,3319.21923828125,1651.314208984375,698.7449951171875,279.31201171875,587.82958984375,168.1393585205078,3692.50390625,543.1084594726562,896.8555297851562,93.498291015625,1515.259765625,580.34375,4951.19140625,306.9033203125,905.0464477539062,2424.70849609375,78.12309265136719,78.69316864013672,1033.031494140625,1433.0333251953125,1226.2215576171875,945.7559814453125,733.7821655273438,701.1828002929688,2290.701171875,433.13092041015625,2464.440185546875,686.4671630859375,1528.5587158203125,5.949999809265137,973.8380126953125,1478.954833984375,53.10669708251953,163.77716064453125,652.5087890625,345.3011779785156,1577.760009765625,755.6995239257812,492.0125732421875,6490.75244140625,2498.55126953125,933.85986328125,29.576906204223633,95.80797576904297,87.93972778320312,1600.054931640625,101.73698425292969,1028.23681640625,1169.7825927734375,386.6636657714844,26595.005859375,1294.265869140625,749.2677001953125,825.591064453125,124.23133087158203,3215.3134765625,1192.1646728515625,1848.053955078125,508.14739990234375,7381.61181640625,143.1635284423828,288.86102294921875
2021-08-31,1832.218505859375,2306.837158203125,1584.063720703125,1068.3499755859375,728.4068603515625,405.1612243652344,4902.69677734375,782.6261596679688,3325.8662109375,1709.9813232421875,733.7529907226562,278.4327392578125,629.1371459960938,167.81912231445312,3702.831787109375,548.904052734375,909.4252319335938,94.96327209472656,1510.042724609375,584.8133544921875,5018.4619140625,307.623046875,910.1155395507812,2543.667724609375,78.02706909179688,78.7740249633789,1044.240234375,1461.5255126953125,1228.1092529296875,961.1205444335938,739.93505859375,706.4981689453125,2303.80908203125,452.7066345214844,2497.816650390625,691.6614990234375,1537.6710205078125,6.099999904632568,961.5330200195312,1486.2711181640625,54.83817672729492,166.3755340576172,653.5067138671875,348.8519592285156,1589.259765625,757.3702392578125,510.1919860839844,6537.73681640625,2527.37353515625,920.8753662109375,29.291690826416016,96.6414566040039,88.23250579833984,1599.428955078125,101.65003204345703,1022.7567138671875,1181.0277099609375,389.72802734375,27701.63671875,1302.2890625,755.78759765625,829.8604736328125,125.06350708007812,3289.283203125,1216.0633544921875,1890.505615234375,513.3775634765625,7504.8818359375,145.1772003173828,292.7432556152344
2021-09-01,1820.0889892578125,2317.208984375,1561.7137451171875,1079.800048828125,724.9512939453125,405.5942687988281,4971.26123046875,794.965087890625,3353.03271484375,1673.8397216796875,733.275146484375,279.0677795410156,631.3636474609375,169.7227325439453,3719.3662109375,563.5665283203125,885.4853515625,93.8889389038086,1517.17724609375,589.2830200195312,5046.640625,319.42706298828125,921.60791015625,2566.3583984375,79.13143920898438,78.04638671875,1042.863037109375,1447.49853515625,1301.9827880859375,946.7719116210938,738.85888671875,707.2855834960938,2302.968505859375,442.8462829589844,2505.885009765625,692.4791870117188,1575.1339111328125,6.099999904632568,967.6854858398438,1461.2740478515625,54.7886962890625,164.95823669433594,643.0996704101562,347.44952392578125,1602.75537109375,735.0300903320312,512.862548828125,6479.29345703125,2471.86572265625,937.8617553710938,28.939918518066406,96.18302154541016,87.61035919189453,1604.7252197265625,101.82394409179688,1026.81005859375,1209.2147216796875,393.24981689453125,27888.0390625,1309.8251953125,750.5050659179688,832.2590942382812,121.69600677490234,3227.171142578125,1206.5291748046875,1908.0177001953125,517.9721069335938,7442.12109375,142.89981079101562,293.24566650390625
